title,link,descrip,date
Crane rope sheave failures,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2019%2Fcrane-rope-sheave-failure&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D19943&auth=P6I5720swNMflksl9FkNRw&profile=_default&rank=74&query=%21padrenull,"The purpose of this safety alert is to highlight the risk of rope sheave failure on mobile cranes. Crane owners, crane operators and workers involved in rigging cranes should apply the principles in this alert to any crane with rope sheaves.",3 January 2020
Agricultural industry mobile plant roll-over incidents,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fagricultural-industry-mobile-plant-roll-over-incidents&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D27583&auth=bO25hOtIvlnvT%2FReXf06GA&profile=_default&rank=75&query=%21padrenull,"In October 2019, a man died on a rural property died after being crushed by the tractor he was operating. Initial findings suggest he was reversing the tractor into a deep excavation, when for reasons yet to be established, the tractor rolled.",23 December 2019
Worker struck by building materials,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-struck-by-building-materials&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D24050&auth=pzIw5F1efL63XAygguB9Rg&profile=_default&rank=76&query=%21padrenull,"In November 2019, a truck driver sustained serious lacerations to his leg when he was struck by building materials which had fallen off a pallet.",20 December 2019
Minimise shark bite risks as diving and snorkelling activities peak,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2019%2Fminimise-shark-bite-risks-as-diving-and-snorkelling-activities-peak&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D31625&auth=vGjjSl%2FGzbA%2Fx9oN7fftbg&profile=_default&rank=77&query=%21padrenull,"With holiday-makers heading to our waterways in droves, dive and snorkel tour operators should ensure their safety systems and processes are up to date and staff are briefed on how to minimise the risk of shark bites.",19 December 2019
Incident at Public Swimming Pool,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fincident-at-public-swimming-pool&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D23448&auth=%2B0%2B9IgixjKs4atMRys4pvw&profile=_default&rank=78&query=%21padrenull,"In November, a young child was submerged underwater for less than two minutes at a supervised public pool. On-duty lifeguards administered CPR until QAS officers arrived and took over. The child was taken to hospital and later passed away.",18 December 2019
Zip line terminations,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2019%2Fsafety-alert-zip-line-terminations&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D22059&auth=OpjxLKe9TSXP86cY%2Fm4HBA&profile=_default&rank=79&query=%21padrenull,"The purpose of this alert is to inform zip line owners, operators, engineers and riggers of the risk of failure of zip line terminations and to provide guidance to help prevent the failure of zip lines.",9 December 2019
Fatal fall at tourist attraction,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Ffatal-fall-at-tourist-attraction&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D23432&auth=HONl%2BNfnTQ1VrERwkA3opw&profile=_default&rank=80&query=%21padrenull,"In October 2019, a patron died, and another was seriously injured while using a zipline attraction as part of a rainforest adventure tour.",4 December 2019
Worker injured on construction site,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-injured-on-construction-site&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D23973&auth=9xfmhtlSLdrrv5h11yl3GQ&profile=_default&rank=81&query=%21padrenull,"In October 2019, a compact track loader (commonly known as a posi-track or bobcat) was moving spoil on a construction site when it reversed into a worker who suffered serious leg injuries.",4 December 2019
Callaghan 37 metre concrete placing booms,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2019%2Fcallaghan-37-metre-concrete-placing-booms&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D23415&auth=ie9q93LEI2nAtB8ZCD9xcQ&profile=_default&rank=82&query=%21padrenull,This safety alert concerns the collapse of a Callaghan 37 metre concrete placing boom and includes actions to be taken by boom owners to avoid similar incidents.,8 November 2019
Lifting clutch failures,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2019%2Flifting-clutch-failures&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D19009&auth=K%2Fjmj4LqfoQJ1HDQVDliMw&profile=_default&rank=83&query=%21padrenull,"The purpose of this health and safety alert is to inform workers, employers, builders and designers of the risk of failure of lifting clutches associated with tilt-up and pre-cast concrete erection.",7 November 2019
Abattoir worker fatally crushed by machinery,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fabattoir-worker-fatally-crushed-by-machinery&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25616&auth=qMabQa%2FCGUUNY%2F23YCJhnQ&profile=_default&rank=84&query=%21padrenull,"In July 2019, a worker was crushed to death when manually handling goat carcasses. He was trapped by a hydraulically operated stainless-steel bucket.",1 November 2019
High pressure water blaster used on asbestos roof,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fhigh-pressure-water-blaster-used-on-asbestos-roof2&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D26498&auth=eSJ7zfDdMxjowViyUmGqTA&profile=_default&rank=85&query=%21padrenull,"In June 2019, two people used a high-pressure water blaster on a corrugated asbestos cement roof (super six roof). As a result, asbestos contaminated dust and debris (ACD) ended up on neighbouring residential properties.",31 October 2019
Elastic spring-back in wear plates on excavator buckets,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2019%2Felastic-spring-back-in-wear-plates-on-excavator-buckets&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D26034&auth=weYGw4smUWqUamOX2corxQ&profile=_default&rank=86&query=%21padrenull,The purpose of this safety alert is to highlight the risk of elastic energy being released when wear plates on excavator buckets or similar parts on other equipment are being removed or repaired.,30 October 2019
Worker killed after tyre explosion,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-killed-after-tyre-explosion&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D23981&auth=YdUWq6APqi%2BanzRPnRBK0Q&profile=_default&rank=87&query=%21padrenull,"In September, a truck driver was killed while inflating a tyre. Initial indications are the transport firm employee sustained fatal injuries when the tyre he was inflating exploded.",22 October 2019
Young worker seriously injured by meat slicing machine,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fyoung-worker-seriously-injured-by-meat-slicing-machine&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D27161&auth=cgRUsDB46RFZON2Meu5YUA&profile=_default&rank=88&query=%21padrenull,"In August 2019, a young worker suffered serious hand injuries after an incident at a meat processing workplace. Early enquiries indicate he was operating a guillotine style slicing machine used to cut frozen meat.",21 October 2019
Fatal fall from height while working on air conditioning system,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Ffatal-fall-from-height-while-working-on-air-conditioning-system&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D28636&auth=FEwfjZV6UykimZWWnPVrVg&profile=_default&rank=89&query=%21padrenull,"In August, a man died after falling approximately 6m while working on an air conditioning system at a civic centre. It’s believed he may have fallen from a ladder. Investigations are continuing.",18 October 2019
Person seriously injured by falling boat,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fperson-seriously-injured-by-falling-boat&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25129&auth=YYk%2BkXY0XUBK79vwNsujww&profile=_default&rank=90&query=%21padrenull,"In July 2019, a person was seriously injured when a large boat on a hardstand toppled over. Early enquiries indicate a prop or stand that was part of the system stabilising the boat may have been moved for easier access when maintenance was being done. Investigations are continuing.",11 October 2019
Worker injured by overhead travelling crane,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-injured-by-overhead-travelling-crane&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25632&auth=83Ody%2FBC4Kg9vNfBYBUcTg&profile=_default&rank=91&query=%21padrenull,"In June 2019, a crane operator was injured when an overhead travelling crane (also commonly known as a bridge crane) fell to the ground. Early enquiries indicate the anchoring system used to support the rails the crane travels along failed, resulting in the crane falling. Investigations are continuing.",11 October 2019
Workers injured in trench collapse,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworkers-injured-in-trench-collapse&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D24054&auth=yEwyFBsmf8OAnQ0SowEDYA&profile=_default&rank=92&query=%21padrenull,"In August 2019, two workers were injured after a trench collapse at a construction site. Early enquiries indicate the two workers were installing footings in a trench next to a recently completed storm water pipeline.",8 October 2019
Worker burned in fuel explosion,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-burned-in-fuel-explosion&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D23444&auth=fbU37sT6sWiSvDT5EiGo0w&profile=_default&rank=93&query=%21padrenull,"In August 2019, a worker suffered burns when fuel vapour ignited causing an explosion. The worker was refuelling a boat, when for reasons yet to be established, fuel vapour ignited causing an explosion. Investigations are continuing.",25 September 2019
Fatal forklift incidents,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Ffatal-forklift-incidents&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D21427&auth=w0F1lxiMVQ4IvckLsV1FXQ&profile=_default&rank=94&query=%21padrenull,"In July 2019, a person was fatally crushed by a portable generator being unloaded from a truck by a forklift. In a separate incident in May 2019, a worker was fatally crushed between a reversing forklift and a truck at a transport yard. Investigations into both are continuing.",24 September 2019
Sign collapse,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2018%2Fsign-collapse&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D16304&auth=LPysvapD%2Bt2Szve6eBLpZw&profile=_default&rank=95&query=%21padrenull,"This safety alert highlights the risk of collapse of self-supporting signs, and to raise awareness of the need to properly design, maintain and inspect sign structures.",19 September 2019
SpaceAge winch type sign failures,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2019%2Fwinch-type-sign-failures&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D19005&auth=n9FqPa94myJgKG%2Fq2bVW3A&profile=_default&rank=96&query=%21padrenull,The purpose of this safety alert is to highlight the risk of winch type (wind-up) sign failure and to provide recommendations on how to avoid further incidents. This alert specifically applies to winch type signs supplied by SpaceAge Signs and supersedes all previous alerts on winch type signs.,19 September 2019
Crane contacts overhead powerlines,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fcrane-contacts-overhead-powerlines&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D24012&auth=iFmQNzNpetengm51s6gaIw&profile=_default&rank=97&query=%21padrenull,"Queensland’s Electrical Safety Office (ESO) and Workplace Health and Safety Queensland are investigating an incident where a mobile crane contacted overhead powerlines. One worker was electrocuted, another suffered serious injuries, while a third required hospital treatment. Investigations are continuing.",18 September 2019
Worker severely injured by agricultural machine,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-severely-injured-by-agricultural-machine&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D26054&auth=qniLYetXQgaIrUtLyELQuA&profile=_default&rank=98&query=%21padrenull,"In June 2019, a worker suffered traumatic injuries to both arms as a result of becoming entrapped by a pulling winch. The pulling winch was used on a vegetable growing farm to pull liners with compost from a shelf and unload onto a conveyor.",6 September 2019
Worker burned by hot cane mud and liquid,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-burned-by-hot-cane-mud-and-liquid&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25004&auth=EBr0SN8FXVob1if900zTvA&profile=_default&rank=99&query=%21padrenull,"In July 2019, an evaporative plant operator suffered extensive burns to his upper body after being doused by hot sugar cane mud and liquid released when he was unblocking a tank flange. WHSQ investigations are continuing.",23 August 2019
Worker injured by collapsed roof,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-injured-by-collapsed-roof&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D23419&auth=n1n8e5dgn%2BsUe1F7GeFsZw&profile=_default&rank=100&query=%21padrenull,"In July 2019, a 22 year old man was seriously injured while doing demolition work. At the time, workers were manually demolishing the roof frame and external walls of a single storey home. The truss top plate (also called an upper wall plate) was cut. The top plate is a horizontal load-bearing member secured to the top of the wall studs that supports the roof structure. The roof and external wall frames skewed and fell, trapping the injured worker underneath. Investigations are continuing.",15 August 2019
Suspended scaffold failure,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2008%2Fsuspended-scaffold-failure&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D19955&auth=RGqLevlZRY9DVxGN7297gA&profile=_default&rank=101&query=%21padrenull,Stability requirements for telescopic handlers used as cranes,13 August 2019
High ropes adventure courses,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2018%2Fhigh-ropes-adventure-courses&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D20707&auth=7rpMZ8avSiX5EbU9yzhkBw&profile=_default&rank=102&query=%21padrenull,The purpose of this alert is to highlight the risk of strangulation when participating in high ropes adventure courses.,13 August 2019
Worker seriously burned in vehicle gas tank fire,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-seriously-burned-in-vehicle-gas-tank-fire&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25988&auth=hbiCaAU%2BfSiKE6Dweh7Yjg&profile=_default&rank=103&query=%21padrenull,"In April 2019, a worker was seriously burned while attempting to decommission a liquefied petroleum gas (LPG) tank from a motor vehicle at a workplace. It appears he was removing screws on the LPG tank using a battery-operated screwdriver which created an ignition source and started a fire.",7 August 2019
Farmer fatally injured by fallen hay bale,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Ffarmer-fatally-crushed-by-hay-bale&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D24038&auth=nUu8Vtj8cZLsk%2FELAq9YsA&profile=_default&rank=104&query=%21padrenull,"In July 2019, a farm worker was fatally injured when a bale of hay weighing approximately 720kg fell onto him. Early indications are he was unloading bales of hay using a front-end loader with fork attachments. It appears he exited the loader and approached the trailer to remove a strap. A hay bale that had become unstable fell from the trailer, fatally crushing him. Investigations are continuing.",6 August 2019
Student burned in science experiment,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fstudent-burned-in-science-experiment&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D23977&auth=ED3SINWW7bIh8807l3YU5A&profile=_default&rank=105&query=%21padrenull,"In March 2019, a student sustained serious burns and a staff member minor burns during a school science experiment when methylated spirits was applied to an open flame. A second student’s uniform caught fire, but it was extinguished without causing injury. It appears the experiment being undertaken was a soda snake experiment, in which carbon dioxide produced by hot baking soda pushes carbonate out from burning sugar.",31 July 2019
Young worker injured by exploding tyre rim,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fyoung-worker-injured-by-exploding-tyre-rim&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D24940&auth=EFPCIAZApI6kHwtGf61rhg&profile=_default&rank=106&query=%21padrenull,"In May 2019, a young worker suffered serious facial injuries when the split rim that he and another worker were performing maintenance on, exploded. For reasons yet to be established, it appears the tyre exploded while the workers were removing a tyre from a split rim on an earthmover. Investigations are continuing.",3 July 2019
Worker injured by falling piling rig component,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-injured-by-falling-piling-rig-component&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D26068&auth=LyCqvIHeOP%2Fr7TvggaezwQ&profile=_default&rank=107&query=%21padrenull,"In May 2019, a worker suffered serious crush injuries to his legs and head lacerations when part of a drill head on a piling rig fell on him. Early inquiries indicate two workers were preparing drilling components to fit to the piling rig while it was turned off. For reasons yet to be established, the drill casing fell without warning and struck one of the workers.",28 June 2019
Worker's foot amputated in feeder bin trailer,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworkers-foot-amputated-in-feeder-bin-trailer&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25535&auth=wa0a6Hs7DHF8DTQmMh%2BCvw&profile=_default&rank=108&query=%21padrenull,"In May 2019, a worker’s foot was surgically amputated after coming into contact with three exposed augers that were in operation. The augers were located at the bottom of a feeder bin trailer. At the time of the incident, the worker was performing his daily farm hand duties.",21 June 2019
Operator severely injured by skidder winch,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Foperator-severely-injured-by-skidder-winch&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25016&auth=jyYM6T5Hq1kxVVRZdbpsTQ&profile=_default&rank=109&query=%21padrenull,"In May 2019, an operator of a forestry skidder at a rural property became entangled in the cable winch mechanism at the rear of the machine.",19 June 2019
Audience members injured at horse racing event,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Faudience-members-injured-at-horse-racing-event&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25992&auth=wzN0oL0Y70aZAFLde%2FdkeA&profile=_default&rank=110&query=%21padrenull,"In March 2019, spectators were injured when they were struck by a mobile starting barrier at a harness racing event (a form of horse racing).",6 June 2019
High-pressure water blaster used on asbestos roof,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fhigh-pressure-water-blaster-used-on-asbestos-roof&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D26535&auth=0nXBF2463qxxVcm06BzIJw&profile=_default&rank=111&query=%21padrenull,"In February 2019, a painting contractor used a high-pressure water blaster on a corrugated asbestos cement roof, commonly known as a super six roof. Asbestos contaminated dust and debris (ACD) was distributed throughout the grounds of the domestic residence and onto two neighbouring domestic residences.",3 June 2019
Hazards of using load skates,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2019%2Fhazards-of-using-load-skates&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D20711&auth=r25sG%2Fyx2lAWbglsWp00sw&profile=_default&rank=112&query=%21padrenull,"This safety alert has been issued to highlight the risk of serious injury or death when using load skates to move top-heavy loads. Load skates are also referred to as machine or machinery skates, load trollies, heavy load dollies and load rollers.",31 May 2019
School student injured by storage box lid,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fschool-student-injured-by-storage-box-lid&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25024&auth=nhggELQhiWM4nGHCZrgl7A&profile=_default&rank=113&query=%21padrenull,"In March 2019, a young school student was injured when their head became trapped between two adjacent lids on a storage box in a playground. Each of the box’s heavy timber lids opened and closed independently and were supported by gas struts. The student put their head between a fully-opened lid and a partially-opened lid that was opening, trapping their head.",30 May 2019
Worker fatally trapped in conveyor,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-fatally-trapped-in-conveyor&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D23965&auth=Vxj%2BA84Y7Wtlr8QAFZMvvg&profile=_default&rank=114&query=%21padrenull,"In March 2019, a worker was fatally injured after becoming trapped in a conveyor belt system at a recycling facility. It is not clear at this stage what caused the incident. Investigations are continuing.",23 May 2019
Falls from fixed ladders with cages,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2019%2Ffalls-from-fixed-ladders-with-cages&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D22071&auth=8m9VoevVxzl3qEWXICQPKQ&profile=_default&rank=115&query=%21padrenull,The purpose of this safety alert is to highlight the risk of falling from a fixed caged ladder and over the guardrail of the landing below.,22 May 2019
Worker’s legs crushed by reversing forklift,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworkers-legs-crushed-by-reversing-forklift&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25040&auth=l6GRRiuRUraQ1eo9%2BcXI3w&profile=_default&rank=116&query=%21padrenull,"In March 2019, a worker’s legs were severely crushed when he was struck by a reversing forklift in the loading bay of a timber factory. He had entered the loading bay on foot while the forklift was transporting materials. Investigations are continuing.",26 April 2019
Automotive mechanic struck by vehicle parts,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fautomotive-mechanic-struck-by-vehicle-parts&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D25608&auth=BQhgwi56xwZCtyjiCMeOwg&profile=_default&rank=117&query=%21padrenull,"In March 2019, a worker suffered serious head injuries when a suspension air bag assembly ejected under pressure from a heavy vehicle in a mechanical workshop. Early investigations indicate the vehicle was raised on a hoist and the worker was underneath along with other workers disconnecting and removing suspension parts to allow access to a hard to reach spot in preparation for other maintenance tasks.",18 April 2019
Worker fatally crushed by planting machine,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2019%2Fworker-fatally-crushed-by-planting-machine&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D24840&auth=TchDLmyLWMKQDKvKdjelaA&profile=_default&rank=118&query=%21padrenull,"In March 2019, a worker was killed on a rural property when he was crushed by the wheels of a planting machine that was being towed by a tractor.",17 April 2019
