date,crime,zone,summary,pio
"June 8, 2020",Collision,Zone 1,"Pittsburgh Police from Zone 1 responded to Route 65 near the McKees Rocks Bridge for a collision between a motorcycle and vehicle just before 5:45 p.m. When they arrived on scene the female motorcycle victim was found unresponsive. She was transported to the hospital in critical condition. The driver of the vehicle had been pulling out of a driveway onto Route 65 when the motorcyclist, travelling northbound, hit the bumper of his vehicle. Neither he nor his passenger were injured and there were no signs of driver impairment. The Collision Investigation Unit processed the scene and the investigation is ongoing.",Cara Cruz
"August 14, 2019",Undetermined,Zone 6,"Pittsburgh Bureau of EMS, Fire and Police responded to reports of an unresponsive boy on a playing field at Chartiers Avenue and Middletown Way just before 7:40 p.m. When they arrived they found a 13-year-old boy who had been playing football and collapsed while running off the field. He was transported to Children’s Hospital by EMS where he was later pronounced deceased. Police processed the scene due to the boy’s young age and the fact that this was an undetermined death. There are no further details to provide at this time. The cause and manner of death will be determined by the Allegheny County Medical Examiner's Office.",Cara Cruz
"June 15, 2020",Assault of Police Animal,Zone 2,"The Damage Assessment and Accountability Taskforce (DAAT) comprised of local, state and federal law enforcement agencies, continues to analyze video, photos, and information in an effort to identify individuals who committed criminal acts during the primarily peaceful demonstrations in the city. The male shown in these photographs is suspected of striking and pushing a horse from the Pittsburgh Police Mounted Unit during the Saturday, May 30 protests downtown. Anyone with information is asked to contact the taskforce at DAAT@Pittsburghpa.gov, or call (412) 323-7800 and ask for the taskforce. Contributors will remain anonymous.",Cara Cruz
"July 10, 2021",Firearm discharge,Zone,"On July 10, a Pittsburgh Police officer conducted a traffic stop at the intersection of Uxor Way and Sarah Street at around 1:25 a.m. When the officer stopped the vehicle, two males exited. The officer gave verbal commands for the driver and passenger to remain inside the vehicle. The individuals fled on foot down Uxor Way. A brief foot pursuit of the driver occurred. During the foot pursuit, an officer discharged his duty weapon one time. There were no injuries. The suspect was arrested and charged with escape and various traffic violations. A firearm and an undisclosed quantity of narcotics were recovered during a search of the vehicle. Additional charges may be filed. Police are still searching for the passenger who fled the scene. The vehicle was towed to be processed by the Auto Squad. Per departmental policy, the officer has been placed on administrative leave. At this time the investigation is preliminary and ongoing.",Cara Cruz
"October 22, 2020",Missing Juvenile,Zone 3,"Pittsburgh Police detectives with the Special Victims Unit seek the public’s assistance to help locate a missing juvenile male. Jordan Boyd, 11, is described as 5 feet 2 inches tall, around 110 pounds, with Black hair, and Brown eyes. He was last seen October 22nd in the Knoxville neighborhood around 3 p.m. wearing black shirt with bleach marks on the front. If you have any information regarding his whereabouts, please call SVU at (412)-323-7141.",Maurice Matthew
"January 14, 2021",River Rescue,Ohio River,"UPDATE: The male pulled from the Ohio River has been pronounced dead. His identity and the cause/manner of death will be released by the Medical Examiner's Office. ORIGINAL POST: Pittsburgh River Rescue responded to a report of a male in the Ohio River near the West End Bridge shortly after 1 p.m. River Rescue located a 35-year-old man, pulled him into the boat and immediately began CPR. They transported him to the River Rescue boathouse near PNC Park, where waiting medics took him to a local hospital in critical condition. Police are investigating. Pittsburgh River Rescue is made up of EMS certified rescue divers and Pittsburgh Police boat operators.",Chris Togneri
"December 9, 2019",Shooting,Zone 4,Just before 8 p.m. Pittsburgh Police officers from Zone 4 responded to UPMC Presbyterian for a male who arrived at the hospital by private means with a gunshot wound to the hand. When responding officers spoke with the victim he said he was on Larimer Avenue behind Target on the 6200 block of Penn Avenue when he heard gunshots. He told police he realized he had been shot in the hand so he flagged down a car to take him to the hospital. Police are investigating.,Cara Cruz
"August 24, 2021",Shooting,Zone 2,"Just after 12:30 a.m., Zone 2 officers responded to a ShotSpotter alert for five rounds fired in the 2200 block of Webster Avenue. Once in the area, responding units located a male victim outside with multiple gunshot wounds. Medics transported him to the hospital in critical condition. Detectives from Violent Crimes are investigating. The Crime Scene Unit processed evidence at the scene. There are no suspects at this time. The investigation is ongoing.",Cara Cruz
"March 3, 2021",SWAT Callout,Banksville,"Pittsburgh Bureau of Police officers responded to a 9-1-1 report of an abduction in process on the 300 block of Bausman Street around 2:55 p.m. Shortly thereafter, police located a vehicle associated with the alleged abduction on the 1000 block of Banksville Road. SWAT was summoned to the scene. The alleged victim and alleged actors were quickly located. No one was injured. Per the initial investigation: Several people rented several rooms in two neighboring hotels on Banksville. Several people associated with the rooms had warrants for their arrest. Multiple people were detained for questioning. Police continue to investigate. NOTE: This entry will be updated when additional information is available.",Chris Togneri
"June 13, 2019",Corruption of Minor,Squirrel Hill,": At least one media outlet identified a nearby children’s care center, Bright Light Academy, as the facility where Reading volunteered. Bright Light NEVER was associated with Reading. He never worked there, volunteered there or had any association with the center. Bright Light is in a a completely different building from where Reading worked. Reading is being charged for an incident in which he was in a home with a woman and her children. Reading later violated a no contact order with the family. If anyonen else has had a concerning experience with Reading, please call the Sex Assault/Family Crisis Unit at 412 323-7141.",Chris Togneri
"November 26, 2021",Shooting,Zone 2,"Pittsburgh Police from Zone 2 responded to the 2400 block of Bedford Avenue for a Shotspotter alert, followed by a 9-1-1 call, for multiple rounds fired. While investigating on scene, officers learned that a male victim had arrived at the hospital by private vehicle just after midnight with multiple gunshot wounds to the face and one to the back. Police verified with medical staff that he was in stable condition. No other victims were located. Detectives from Major Crimes and the Mobile Crime Unit arrived to investigate and process evidence. There are no suspects or arrests at this time. The investigation continues.",Cara Cruz
"March 11, 2020",Vehicle Crash,Zone 2,"No one was injured in a two-vehicle crash involving a Pittsburgh Bureau of Fire Deputy Chief around 7:30 p.m. at the intersection of Fifth Avenue and Chatham Square. Per the initial investigation: The Deputy Chief was driving a marked Fire vehicle on Fifth towards Downtown to respond to a report of smoke in a building when he drove into the intersection. He entered the intersection against a red light but with his sirens and lights engaged. The other driver did not see or hear the Fire vehicle and crashed into the side of it. The Deputy Chief was not injured. Medics checked the second driver, who refused transport and also was not injured. Both vehicles were towed. Zone 2 Police are investigating the crash.",Chris Togneri
"August 6, 2020",Fraud,Zone 5,"Pittsburgh Police took a theft by deception report on August 1st. A woman reported to Zone 5 officers that she received a call from a male claiming to be her grandson. The individual also pretended to be a detective and requested the woman send $7,000 for bail. The victim, thinking this was her actual grandson, sent money through FEDEX as requested by the fraudster. The victim later contacted her grandson to verify he received the money. The grandson stated that he has never been arrested and did not request money. Pittsburgh Bureau of Police would like to remind residents that police will not call to request money. Concerned citizens should contact local authorities if they have any questions about the legitimacy of an arrested individual and their bond. Police are investigating.",Maurice Matthew
"May 24, 2019",Shots Fired,Zone 3,Pittsburgh Bureau of Police officers from Zone 3 responded to shots fired in the 700 block East Warrington Avenue just after 1:15 a.m. When they arrived on scene they found a window had been shot at several times at a business. There were no victims. Police are investigating.,Cara Cruz
"July 25, 2020",Shooting,Zone 6,Pittsburgh Police from Zone 6 responded to reports of a disturbance inside a residence in the 3000 block of Bergman Street just after 11 p.m. The call was later updated to say a male had been shot in the leg and was being driven to the hospital by private means. Responding officers stopped the vehicle near Station Square Drive and W. Carson Street. Medics arrived to stabilize the victim and transport him to the hospital. The investigation is ongoing.,Cara Cruz
"September 16, 2019",Vehicle Crash,Zone 5,"Pittsburgh Bureau of Police officers responded to a report of a car versus motorcycle crash near the intersection of Kelly Street and North Dallas Avenue around 9:40 p.m. Responding officers from Zone 5 found a male who had been riding an off-road motorcycle badly injured from a collision with a vehicle. Medics transported the male to UPMC Presbyterian, where he was pronounced dead. No one in the vehicle was injured. The Collision Investigation Unit responded to process the scene. Police are investigating.",Chris Togneri
"October 4, 2021",Fire,Brighton Heights,"Just before 10 a.m. on October 4th, 2021 Pittsburgh Bureau of Fire responded to a 2-alarm fire at a home on the 1100 block Flora Street in Brighton Heights. The home is a duplex with all units occupied. Investigators determined the fire started outside the right unit of the building. Residents self-evacuated and there were no injuries. The Fire Investigation Unit is working on determining the cause.",Amanda Mueller
"December 27, 2019",Roof Fire,Zone 5,"Pittsburgh Bureau of Fire responded to a 911 call of a structure fire at the 6400 block of Frankstown Avenue around 4:50 p.m. When Firefighters arrived on scene, they found fire coming from the roof in the rear of the building. Firefighters were able to contain and extinguish the fire. The roof was under construction and a worker was able to escape without injury. Zone 5 officers closed Frankstown Avenue between Paulson Avenue and Enterprise Street until fire vehicles left the scene. The Fire Investigations Unit will investigate the cause of the fire.",Maurice Matthew
"December 11, 2020",HazMat Response,Strip District,"The City of Pittsburgh Hazardous Materials (HazMat) Team responded to a report of a strong gas odor outside Consumer Fresh Produce Inc. at 1 21st Street in the Strip District. After inspecting the building, which is a large cold storage facility, HazMat determined it sustained an ammonia leak on the roof, resulting in a strong odor in the area. The leak does not present a hazard. However, the odor will linger -- especially at night when cooler air sinks to the ground -- until the leak is fixed. Building management is on scene and arranging for a contractor to fix the leak. Pittsburgh HazMat, established in 1986, is a joint effort between the Pittsburgh Bureau of Fire and the Pittsburgh Bureau of EMS.",Chris Togneri
"October 3, 2020",Shooting,Zone 5,"Pittsburgh Police from Zone 5 responded to a Shotspotter alert for shots fired in the 7200 block of Frankstown Avenue just after 3:15 p.m. Responding officers on scene discovered a male victim who had suffered a gunshot wound to the back. He was transported to the hospital by medics in critical condition. A female victim who received a gunshot wound to the foot was taken to the hospital in stable condition. Witnesses say a fight broke out on the sidewalk within a group of about 25 people and two suspects began shooting at each other. There are no suspect descriptions at this time. The Crime Scene Unit is gathering and processing evidence at the scene. Homicide, Violent Crime Unit, and GVI detectives are investigating.",Cara Cruz
"September 2, 2020",Vehicle and Pedestrian Collision,Zone 4,"Pittsburgh Police and EMS responded to a reported vehicle that struck a pedestrian at the intersection of Fifth Avenue and N Dithridge Street, around 9:40 a.m. First responders were alerted to a 94-year-old woman on the street. The victim complained of a leg injury. Medics transported the victim to UPMC Presbyterian serious condition. The driver of the Access bus remained on the scene. Fifth Avenue was closed between N Bellefield Avenue and N Craig Street. Fifth Avenue was reopened around 2-hours later. There were no other injuries and police are investigating the cause of the collision.",Maurice Matthew
"February 12, 2020",Unresponsive,Zone 4,Pittsburgh Bureau of EMS and Police responded to a report of an unresponsive male in the woods at the end Goodman Street around 12 p.m. A group of dog walkers noticed the male on the ground along the walking trail and called 9-1-1. First responders found him about 1200 feet from the end of Goodman Street. Medics determined the male was deceased. Cause and manner of death will come from the Medical Examiner's office. Foul play is not suspected. Police are investigating.,Maurice Matthew
"November 8, 2021",Fire,Manchester,"Just after 10:30 a.m. on November 8th, 2021 Pittsburgh Bureau of Fire responded to a fire at Bidwell Hi-Rise on Sheffield Street in the Manchester neighborhood. The high-rise plan was implemented and the third and fourth floors were evacuated. By 11:00 a.m., the fire was under control. The source was a dryer on the third floor. No injuries were reported and there was no significant damage to the building.",Amanda Mueller
"July 10, 2019",SHooting,Zone 1,Pittsburgh Bureau of Police responded to a ShotSpotter alert of gunfire on the 2100 block of Rhine Street around 2:55 a.m. Responding officers from Zone 1 found a male victim with a gunshot wound to the leg. Medics transported him to a local hospital in stable condition. Police are investigating.,Chris Togneri
"October 15, 2021",Arrest,Zone 6,,Cara Cruz
"March 25, 2021",Shots fired,Zone 1,"Pittsburgh Police from Zone one responded to a Shotspotter alert for multiple rounds fired in the 1200 block of Woods Run Avenue just before 12:15 a.m. When officers arrived on scene they observed spent shell casings in the parking lot across the street from Rumerz Sports Bar and Grill. One of the rounds struck Rumerz itself, penetrating a window. There were no victims located. The Crime Scene Unit processed the scene. The investigation is ongoing.",Cara Cruz
"February 14, 2021",Aggravated Assault,Zone 2,"Just after 12:30 a.m., a male approached a Pittsburgh Police officer inside his parked vehicle located at 600 Liberty Avenue, asked to file a police report, and then began punching the window multiple times. When the officer exited the vehicle, the male then hit the officer in the chest. While the officer scuffled with the male and called for backup, he dropped the keys to his vehicle. Another officer arrived and deployed his taser to subdue the suspect. The male was arrested and taken to be cleared medically before being transported to Allegheny County Jail, where they found the officer's keys in the suspect's pockets. He was charged with Aggravated Assault, Theft By Unlawful Taking, Disorderly Conduct and Resisting Arrest.",Cara Cruz
"June 24, 2019",Graffiti/Vandalism,Zone 5,"The Pittsburgh Bureau of Police learned today of the defacement to a memorial of one of its fallen officers, Paul Sciullo, outside the Bloomfield home of his parents, Sue and Max Scuillo. “On behalf of the Pittsburgh Bureau of Police and the City of Pittsburgh I’m saddened to hear of the vandalism at the Scuillo home…the home of one of our fallen officers,” said Police Chief Scott Schubert. “It’s a shame that Paul gave his life protecting the City of Pittsburgh with his brother officers 10 years ago, to have somebody deface his memorial at the home of his parents, the son who they grieve every day.” Schubert said Pittsburgh Bureau of Police officers are actively investigating this incident and will hold accountable whoever is responsible for this crime. The Scuillo family told police they’re doing okay, but were very hurt by the damage to Paul’s memorial. Police officers did not allow their fallen brother’s family to suffer alone, arriving to thoroughly clean the sign today and return it to its original state. Anyone who may have any information about this incident is asked to call Zone 5 police at (412) 665-3605.",Cara Cruz
"March 26, 2020",Armed Robbery,Zone 4,,Cara Cruz
"August 17, 2020",Arrest,All Zones,"During the August 15, 2020 “Civil Saturdays” demonstration in the city, the Pittsburgh Bureau of Police arrested a protester at around 5 p.m. in Oakland. Matthew Cartier, 25, of Pittsburgh was subsequently charged with Failure to Disperse, Disorderly Conduct, and Obstruction of Highways and Other Public Passageways. Cartier was arrested by Pittsburgh Police officers in plainclothes, driving an unmarked police vehicle bearing municipal government license plates. Officers were wearing their police badges and identified themselves as Pittsburgh Police when they arrested Cartier. The arrest was made away from the main body of the protest which was stopped at an intersection about a block away. On Sunday, August 16, the Mayor’s Office and Public Safety held a news conference to address questions about the manner in which the arrest took place. During the news conference, Sergeant Donald Mitchell with the Pittsburgh Police Civil Affairs Unit, explained that Cartier was warned that he would be arrested if he did not stop unnecessarily blocking an intersection where there were no protesters. Mitchell said, “He refused, not on one occasion but on several occasions, saying that he does not listen to police.” Cartier was also earlier warned by another Motorcyle Unit officer to stop stepping in front of vehicles and directing traffic during the protest. Commander Ed Trapp, who heads the Special Deployment Division, explained why police effectuated what he called “a low-visibility” arrest of Cartier. “When high-visibility stuff takes place with these marches, it tends to attract a crowd and incite things further,” said Trapp. Pittsburgh Public Safety fully supports the right of peaceful assembly afforded to all Americans under the First Amendment. It will continue to balance those rights with the safety of all citizens during ongoing demonstrations in Pittsburgh. Mayor Peduto issued a statement today banning the use of such tactics during peaceful demonstrations. His full statement is below. https://pittsburghpa.gov/press-releases/press-releases/4235",Cara Cruz
"May 31, 2019",Car Crash with Injury,North Side,"Pittsburgh EMS, Fire and Police responded to a report of a car into a house on the 00 block of Beckfield Street around 11:15 a.m. First Responders found a car with two occupants that had driven through a fence on Rhine Street, down a hill and over a retaining wall, and then struck the rear side of a home. The male driver was out of the car, alert and speaking. EMS transported him to a local hospital in stable condition. The female passenger was uninjured. Two people inside the home were also uninjured. According to the initial investigation, the male driver might have suffered a medical episode causing him to lose control of the vehicle. Investigators from PLI were on scene to inspect the home and its stability. Police are investigating but no charges or citations are expected.",Chris Togneri
"November 15, 2020",Fatal Shooting,Zone 3,"Pittsburgh Police and EMS responded to a 9-1-1 call of two people shot on the 2000 block of Brownsville Road around 10:30 p.m. When first responders arrived, they discovered one gunshot victim in the rear of a structure on the 2000 block of Brownsville Road. Medics transported the male victim to a local hospital in critical condition. He was pronounced deceased after arriving to the hospital. A second victim was not located at the scene. There were no suspect descriptions. Mobile Crime Unit and Violent Crime Unit processed the scene and the investigation is ongoing.",Maurice Matthew
"November 4, 2020",Shooting DOA,Zone 5,Pittsburgh Police from Zone 5 responded to a Shotspotter alert for multiple shots fired in the 5700 block of Jackson Street just before 8:10 p.m. Officers located a male victim shot inside the driver's seat of a vehicle. He was pronounced dead at the scene. An unoccupied vehicle nearby also sustained damage from the gunfire. There were no other victims on scene. The Violent Crime and Mobile Crime units arrived to process evidence. The Allegheny County Medical Examiner transported the deceased male to the ME's Office. The investigation continues.,Cara Cruz
"June 12, 2019",Stolen Vehicle,Zone 5,"Pittsburgh Bureau of Police officers from Zone 5 spotted a stolen vehicle in East Liberty on Penn Avenue near Highland Avenue just before 10:45 a.m. The vehicle had reportedly been used in a number of robberies of businesses in Turtle Creek, West Miffilin and Braddock. When the police cruiser came near the suspect vehicle, the driver immediately fled at a high speed. Police then activated lights and sirens and pursued the vehicle for about 10 blocks before the pursuit ended in a collision between the police cruiser and the suspect vehicle on Penn Avenue at Negley Avenue. Police arrested a male and a female from the suspect vehicle. There were no injuries to occupants of either the police or the suspect vehicle. Police are investigating.",Cara Cruz
"December 31, 2020",Shooting,Zone 2,Pittsburgh Police responded to a Shotspotter alert for the 2500 block of Chauncey Drive around 1:30 p.m. A responding Zone 2 officer discovered a male gunshot victim at the corner of Chauncey Drive and Bedford Avenue. She applied a tourniquet to the victim’s right arm. A second gunshot victim was located inside a building on 2500 Chauncey drive. The male suffered a gunshot wound to the leg. Both victims were transported to a local hospital in stable condition. There were no suspect descriptions or direction of flight. The Crime Scene Unit arrived and processed the scene. The investigation is ongoing.,Maurice Matthew
"December 21, 2019",Carjacking,Zone 5,,Chris Togneri
"August 12, 2021",Shooting,Zone 2,"Just after 1 p.m., Pittsburgh Police from Zone 2 responded to reports of a person shot off of Fort Duquesne Blvd. between Sixth and Seventh Streets Downtown. Responding officers located an adult male victim in an alley with a gunshot wound to the chest. Officers equipped with life-saving gauze administered first aid until paramedics arrived. EMS transported the victim to the hospital in critical condition. A short time later Pittsburgh Police stopped a vehicle on the South Side. Two individuals from that vehicle were taken to police headquarters to be questioned. Detectives from the Violent Crime Unit are investigating. The Crime Scene Unit processed evidence on scene. The investigation is ongoing.",Cara Cruz
"July 26, 2021",Shooting,Zone 3,,Maurice Matthew
"August 9, 2021",Collision,Zone 5,"Pittsburgh Police from Zone 5, Pittsburgh Bureau of Fire, and EMS responded to a two-vehicle collision at the intersection of Brushton Avenue and Hamilton Avenue just before 1:30 a.m. Arriving police units, Engine 17, and Medic 19 aided a female passenger who was ejected from one of the vehicles. The victim was transported to the hospital in critical condition, where she was later pronounced deceased.",</p> <p>The Collision Investigation Unit processed the scene.</p> <p>The investigation is ongoing.</p> <strong
"May 24, 2020",SWAT,Zone 5,"Pittsburgh Police from Zone 5 were called to the 4800 block of Penn Avenue just after 3 a.m. for a verbal domestic dispute inside an apartment. SWAT and negotiators were called to the scene out of an abundance of caution. Officers attempted to make contact with the suspect inside, with negative results. Limited entry to the residence was eventually made with a key provided to police. The suspect surrendered without incident a little over an hour after the incident began.",Cara Cruz
"August 3, 2019",Shooting,Zone 3,"Pittsburgh Bureau of Police officers from Zone 3 received a Shotspotter alert of shots fired in the 200 block of Arabella Street around 4 a.m. When they arrived on scene they found evidence of gunfire on the porch of a residence and also on the street. The house was open, but there was no one inside. Shortly after, police were alerted that a male victim had been dropped off at a local hospital by private means. He arrived in critical condition with two gunshot wounds to the chest. Police are investigating.",Cara Cruz
"September 10, 2020",SWAT,Zone 6,"Police responded to a 9-1-1 call for dispute on the 900 block of Wilhem Street around 9:10 p.m. When Zone 6 officers arrived, they were met by an adult male who stated his father assaulted him with a knife. Officers observed cuts on the victims arm and chest. The victim was checked by medics, but refused treatment. The suspect barricaded himself inside of the home shortly after officers arrived. SWAT was called as an abundance of caution. Negotiators encouraged the suspect to safely exit the residence after speaking with him for over an hour. The suspect surrendered without incident and was taken into custody.",Maurice Matthew
"February 24, 2020",Shooting,Zone 5,"Pittsburgh Bureau of Police officers responded to a ShotSpotter alert of gunfire on the 200 block of N. Aiken Avenue around 8:20 p.m. Zone 5 officers found multiple homes struck by gunfire, but no victims. About an hour later, an adult male walked into a local hospital with multiple gunshots to his lower body. The male was admitted in stable condition. Police are investigating.",Chris Togneri
"July 16, 2019",SWAT,Zone 5,"Pittsburgh Bureau of Police officers on routine patrol in Zone Five observed a known male with multiple active warrants for his arrest near Tioga Street just after 4:30 pm. When officers attempted to take the male into custody he fled on foot. After a short foot pursuit, officers observed the male entering a home located in the 7300 block of Hamilton Avenue. Due to the male’s history of gun violence, the safety of whoever might be in the home, and the safety for the growing number of people gathering on the street, members of the SWAT and Tactical Negotiations teams were called in to assist and establish contact with the male.",
"March 6, 2021",Non-fatal Shooting,Zone 2,"Pittsburgh Police responded to a Shotspotter alert for the 200 block of Oak Hill Drive around 7:45 p.m. When Zone 2 arrived, they discovered evidence that a shooting occurred. Three vehicles and one building were struck by the gunfire. During officers initial investigation, they were notified of a gunshot victim inside an apartment on the 2200 block of Bentley Drive. The victim was transported to a local hospital in stable condition. The Mobile Crime Unit arrived and proceeded the scene. The investigation is ongoing.",Maurice Matthew
"September 22, 2021",Assault,Zone 4,"Original incident details: Pittsburgh Bureau of Police have taken two reports of assaults in Squirrel Hill this morning. The first male reported he was verbally assaulted by an unknown male near the intersection of Murray Avenue and Nicholson Street around 6 a.m. The victim reported a male shouted anti-Semitic comments at him. Around the same time, another victim reported a male on Nicholson Street confronted him. The second victim stated a male fitting a similar description, yelled profanities at him, but did not make any physical or verbal threats. Both victims were not injured. The suspect is described as a male between five feet, eight inches tall and six feet, three inches tall wearing black clothing. The investigation is ongoing.",Maurice Matthew
"July 30, 2019",Shooting,Zone 3,Pittsburgh Bureau of Police officers from Zone 3 responded to a Shotspotter alert of multiple rounds fired in the 2300 block of Cobden Street at approximately 6:15 a.m. When they arrived on scene they found a male victim with several gunshot wounds outside behind a residence. He was transported by EMS to a local hospital in critical condition. The residence is privately owned and was being rented out to guests. Police learned some sort of gathering or party was taking place during the night that extended into the morning hours. Three people were detained for questioning.They are not considered suspects at this time. Detectives from Major Crimes and the Crime Scene Unit arrived to process the scene. The investigation continues.,Cara Cruz
"January 11, 2020",Vehicle Crash,Zone 6,"Pittsburgh EMS, Fire and Police responded to a one-vehicle crash in the West End Circle (100 block of Steuben Street) around 12:30 p.m. The male driver of the vehicle (solo occupant) crashed into a wall. Medics transported the male to Allegheny General Hospital in critical condition. Collision Investigators responded and will determine the cause of the crash. The West End Circle is fully cleared and open to traffic.",Chris Togneri
"November 27, 2020",Shooting,Zone 4,Just after 1 a.m. Pittsburgh Police from Zone 4 responded for a male gunshot victim who was driven to the hospital by private means. The male had suffered wounds to the hip and leg. He told police he was shot in the 400 block of Enright Court in Zone 5. Hospital security recovered a firearm from the vehicle used to drive the victim to the hospital. It was towed to the Auto Squad for processing by the Mobile Crime Scene Unit. The investigation is ongoing.,Cara Cruz
"December 31, 2020",Shooting,Zone 1,"UPDATE 1 (Oct. 15, 2020 -- 8:45 a.m). The victim in this incident has been pronounced deceased in the hospital. The investigation is ongoing. ORIGINAL POST: Pittsburgh Police from Zone 1 responded to a Shotspotter activation for shots fired in the 1200 block of N. Franklin Street around 7:45 p.m. While officers were in the area trying to locate a scene and possible victims, they received information that a male had arrived at the hospital by private means in critical condition with a gunshot wound to the head. Detectives with the Violent Crime Unit are investigating.",Cara Cruz
"June 1, 2021",Collision,Zone 6,"Pittsburgh EMS, Fire, and Police responded to a vehicle down an embankment at the intersection of Woodville Avenue and Minnotte Square around 8:40 a.m. Police officers from Zone 6 located the vehicle in the creek with the driver inside. EMS rescuers and firefighters made their way down to the vehicle, where they extricated the female driver. A juvenile passenger was able to climb out of the vehicle, and up the embankment on his own. First responders assisted the driver up the hill to waiting medics. the driver and passenger did not complain of injuries, but were taken to local hospitals to be evaluated. The investigation is ongoing.",Maurice Matthew
"July 9, 2019",Assault,Zone 6,"Pittsburgh Bureau of Police officers from Zone 6 responded to reports of an assault in the 600 block of Hillsboro Street just before 1:00 p.m. on July 9. When officers arrived they met with an adult male victim who was observed to have a small bump on the back of his head and abrasions to his right elbow and right knee. He refused medical treatment on scene. The victim told police he was walking from the PAT bus station on Chartiers Avenue when he noticed a male and female walking behind him. The victim says the pair followed him up a walkway onto Hillsboro Street when the female struck him in the back of the head, knocking him to the ground. The victim told police the male joined in the attack and the pair then struck him several times before he was able get away. The victim also stated that the suspects then walked up the street and entered the Family Dollar on Sheraden Blvd. before being picked up in a gray Ford SUV driven by a female. The male and female suspects involved in the alleged assault are described as being between 15-18 years old. The female is described as having a medium build, wearing a red top and black pants. The male is described as wearing a tan top. Police are investigating.",Cara Cruz
"October 24, 2021",Shooting,Lincoln-Lemington,"Just after 2:30 a.m., Pittsburgh Bureau of Police Officers in Zone 5 responded to a shots fired call near the intersection of Lincoln Avenue and Lemington Avenue. A male with a gunshot would to the torso was found at the scene, and officers rendered aid. The victim was taken to a nearby hospital in critical condition. No arrests have been made at this time.",Amanda Mueller
"February 26, 2020",Hit and Run,Zone 5,Pittsburgh Bureau of EMS along with Zone 5 officers responded to cyclist versus a vehicle at the intersection of Baum Boulevard and South Negley Avenue around 8:15 p.m. Medics attended to a conscious and alert female bicyclist. The victim stated she was struck by white colored vehicle that did not stop. The victim was transported to a local hospital for observations in stable condition. Police are investigating.,Maurice Matthew
"September 5, 2020",Shooting,Zone 1,Pittsburgh Police from Zone 1 were alerted to a male gunshot victim who walked into a local hospital just after 8:30 p.m. The male received three gunshot wounds to the shoulder and back area. He arrived in stable condition. When responding officers spoke with the victim he provided conflicting accounts of where the incident occurred. Police continue to search for a crime scene. The investigation is ongoing.,Cara Cruz
"May 18, 2019",Stabbing,Zone 3,"Pittsburgh Bureau of Police officers responded to a report of a male stabbing victim on the 300 block of Orchard Place around 12:30 a.m. Responding officers from Zone 3 found a 34-year-old male victim with a stab wound to his chest. He was conscious when EMS transported him to a local hospital in critical but stable condition. Per the initial investigation, the victim and his brother had an argument that tuned physical. The brother stabbed the victim and then fled the area. No arrests at this time. Police are investigating",Chris Togneri
"October 14, 2020",Fire,Zone 1,"The Fire Investigation Unit responded to a call for a possible incendiary device thrown through the window of a residential structure in the 1300 block of Superior Avenue at 12:50 a.m., causing the living room carpet to catch fire. Residents inside the home extinguished the fire using buckets of water and wet towels. There were no injuries. Once investigators were on scene, the K9 accelerant dog, Dodger, alerted to different areas of the living room, as well as an incendiary device. There are no suspects at this time and the investigation is ongoing. The Fire Investigation Unit is comprised of investigators from the Pittsburgh Bureau of Fire and detectives from the Pittsburgh Bureau of Police.",Cara Cruz
"November 28, 2020",Pursuit/Officer-Involved Shooting,Homestead/Zone 3,"Pittsburgh Police are investigating a vehicle pursuit, collision and officer-involved shooting that started outside the city and ended on East Carson Street. The officer is a Homestead Police Officer. The adult male shooting victim was transported to a local hospital in stable condition with a gunshot wound to his upper torso. Per the initial investigation: Homestead Police observed a vehicle driving erratically shortly after 11 p.m. in Homestead. The officers pursued the vehicle out of Homestead and into the City of Pittsburgh. The pursuit ended in a vehicle collision involving the suspect vehicle, the Homestead Police vehicle and a third vehicle. It was followed by the officer-involved shooting, in which the Homestead officer shot the suspect, on the 3300 block of East Carson Street. Pittsburgh EMS transported the male. Pittsburgh Police responded after the incident to investigate. Pittsburgh Police will conduct the investigation into the shooting. As part of the investigation, Violent Crime Unit detectives will interview the Homestead officer and all other involved parties. The investigation continues. East Carson Street was closed from Becks Run Road to Sarah Street while the Crime Scene Unit processed the scene.",Chris Togneri
"January 17, 2020",Shots Fired,Zone 3,Pittsburgh Bureau of Police officers responded to a ShotSpotter alert for the 700 block of Excelsior Street around 11:25 p.m. Zone 3 officers discovered a male victim with a single gunshot wound to the foot. The male said he was on the porch when a car drove by and fired shots. The victim was transported to a local hospital in stable condition. Police are investigating.,Maurice Matthew
"September 9, 2021",Search and Seizure Warrant,Zone 2,"Pittsburgh Bureau of Police Animal Law officers served a search and seizure warrant in the 4000 block of Foster Street after complaints of possible animal hoarding inside a residence. Police began investigating after firefighters with the Pittsburgh Bureau of Fire alerted officers to the presence of multiple cats inside a residence when responding to a fire on July 28. Today, Police and Animal Care and Control retrieved at least 24 cats and kittens living in deplorable conditions inside the home. The owner was on scene and surrendered the animals to Humane Animal Rescue on the North Side. The Red Cross was called in to assist the two residents of the home after the Department of Permits Licenses and Inspections declared the house condemned. The Pittsburgh Bureau of Fire was also on scene. The investigation will continue. Charges are pending.",Cara Cruz
