headline,link,date,author,description,tags
"Consider running for the IRE Board of Directors, Contest Committee",https://www.ire.org/consider-running-for-the-ire-board-of-directors-contest-committee-3/,"April 17, 2017",hdcoadmin,"Starting today, IRE will begin accepting applications for candidates for the IRE Board of Directors. This year six of the board’s 13 seats are up for election.  The initial filing period for […]","Board of Directors, IRE Board"
Get a sneak peek at the 2017 IRE Conference schedule,https://www.ire.org/get-a-sneak-peek-at-the-2017-ire-conference-schedule/,"April 13, 2017",hdcoadmin,"We’re busy planning panels, demos and hands-on classes for the 2017 IRE Conference in Phoenix. We’ve posted a partial list of expected sessions, but here are a few highlights: Want […]","IRE Conference, IRE17"
IRE members win 2017 Pulitzer Prizes,https://www.ire.org/ire-members-win-2017-pulitzer-prizes/,"April 12, 2017",hdcoadmin,"Several members of Investigative Reporters and Editors were among the journalists recognized in the 2017 Pulitzer Prizes: Sarah Ryley, along with the New York Daily News and ProPublica, won the […]","wards-1, Member News, Pulitzers"
IRE Radio Podcast | Beyond the Border,https://www.ire.org/ire-radio-podcast-beyond-the-border/,"April 10, 2017",Erica Martin,"How do you cover a topic as complicated and divisive as immigration? On this episode, Jay Root and Todd Wiseman take us through the Texas Tribune’s approach. Their “Bordering on […]","udio, immigration, Podcast, politics"
Atlanta Journal-Constitution to share documents from ‘Doctors & Sex Abuse’ investigation,https://www.ire.org/atlanta-journal-constitution-to-share-documents-from-doctors-sex-abuse-investigation/,"April 6, 2017",hdcoadmin,"Lois Norder, The Atlanta Journal-Constitution Documents concerning doctors in every state accused of sexual misconduct are now being made available to journalists and other researchers by The Atlanta Journal-Constitution. The newspaper […]","buse, health, health care, healthcare, medicine"
Announcing the 2016 IRE Award winners and finalists,https://www.ire.org/announcing-the-2016-ire-award-winners-and-finalists/,"April 4, 2017",hdcoadmin,"IRE is proud to announce the winners and finalists of the 2016 IRE Awards.  In the year in which presidential politics seemingly dominated the news, journalists from around the world […]","2016 IRE Awards, finalists, winners"
Nominate a secretive government agency for IRE’s Golden Padlock award,https://www.ire.org/nominate-a-secretive-government-agency-for-ires-golden-padlock-award-2/,"April 3, 2017",hdcoadmin,"Investigative Reporters and Editors is now welcoming nominations for its annual Golden Padlock award recognizing the most secretive government agency in the United States. ""The techniques of government secrecy have […]","olden padlock, government secrecy, open"
IRE Radio Podcast | Not-So-Special Education,https://www.ire.org/ire-radio-podcast-not-so-special-education/,"March 27, 2017",Erica Martin,"If there’s a sweet spot in investigative journalism, Brian Rosenthal found it. His investigation into special education in Texas schools managed to pull back the curtain on a policy that […]","udio, education, Podcast"
Nikole Hannah-Jones to deliver 2017 IRE Conference keynote,https://www.ire.org/nikole-hannah-jones-to-deliver-2017-ire-conference-keynote/,"March 27, 2017",hdcoadmin,Nikole Hannah-JonesPhoto: Karsten Moran We are excited to announce that Nikole Hannah-Jones will deliver the 2017 IRE Conference keynote address. Nikole is an award-winning investigative reporter who covers civil rights and […],IRE17
IRE & NICAR Federal Data Directory,https://www.ire.org/ire-nicar-federal-data-directory/,"March 24, 2017",Erica Martin,"In an effort to promote rescued federal data and prevent duplicated efforts, IRE and NICAR are cataloging rescued data in a public directory.  Below is a list of datasets saved […]","Database Library, NICAR News"
Participate in the IRE Conference Mentorship Program,https://www.ire.org/participate-in-the-ire-conference-mentorship-program/,"March 23, 2017",Erica Martin,This program is currently full for those looking for a mentor. You can sign up for our waiting list or to be a mentor. Seek advice on reporting techniques and skill […],"IRE17, mentoring"
Cody Winchester joins IRE as training director,https://www.ire.org/cody-winchester-joins-ire-as-training-director/,"March 23, 2017",hdcoadmin,Cody Winchester of the Austin American-Statesman will join the IRE staff April 3 as a training director. Cody brings six years of reporting experience plus advanced computer coding skills to the […],
Highlighting the 2016 IRE Award screeners and judges,https://www.ire.org/highlighting-the-2016-ire-award-screeners-and-judges/,"March 20, 2017",Erica Martin,"IRE would like to thank and highlight the journalists who gave their time, energy and expertise to screen nearly 500 entries for the 2016 IRE Awards. Each year, around mid-January, […]","IRE Awards, judges, screeners"
Napoli Management Group creates IRE scholarship,https://www.ire.org/napoli-management-group-creates-ire-scholarship/,"March 16, 2017",hdcoadmin,"Napoli Management Group, one of the largest news talent representation firms in the country, has established and will fund an IRE scholarship to benefit young television journalists interested in investigative […]","Broadcast, donation, scholarships, TV"
Deadline approaching for FIRE funding application,https://www.ire.org/deadline-approaching-for-fire-funding-application/,"March 14, 2017",hdcoadmin,"Independent reporters are encouraged to apply to Freelance Investigative Reporters and Editors (FIRE), for support with investigative stories. FIRE, a collaboration between Project Word and Investigative Reporters and Editors, offers […]","freelance, independent journalist"
"Remembering David Donald, a pioneer of data journalism",https://www.ire.org/remembering-david-donald-a-pioneer-of-data-journalism-2/,"February 27, 2017",Erica Martin,"Help us remember David Donald at the 2017 CAR Conference Join us in Jacksonville on Friday, March 3, at 6:15 p.m. in River Terrace 1 for a brief tribute. Elena Egawhary was terrified. She stood […]","David, Donald"
IRE members honored with Polk Awards,https://www.ire.org/ire-members-honored-with-polk-awards-3/,"February 20, 2017",hdcoadmin,"Several IRE members were honored Sunday, Feb. 19, with a George Polk Award for Journalism, one of the most prestigious prizes for enterprise and investigative journalism in the world. Ali […]","wards, Member News, Polk Awards"
Localize coverage of the Oroville Dam collapse with our national database,https://www.ire.org/localize-coverage-of-the-oroville-dam-collapse-with-our-national-database/,"February 20, 2017",Erica Martin,"The NICAR Data Library has updated the National Inventory of Dams (NID), a database kept by the U.S. Army Corps of Engineers on dams in all 50 states, Washington D.C. […]","dam, dams, Database Library, infrastructure, NID, Oroville, public safety"
IRE member wins 2017 Selden Ring Award,https://www.ire.org/ire-member-wins-2017-selden-ring-award/,"February 14, 2017",hdcoadmin,"Congratulations to IRE member Brian Rosenthal of the Houston Chronicle for winning the 2017 Selden Ring Award for Investigative Reporting. USC Annenberg recognized Rosenthal for his seven-part series, ""Denied,” which […]",Member News
"Meetup: Central Ohio journos, let's gather",https://www.ire.org/meetup-central-ohio-journos-lets-gather/,"February 14, 2017",hdcoadmin,"Back by popular demand! Please join us on Thursday, February 16 at The Boathouse at Confluence Park, beginning at 5:00 pm.  RSVP online for the event and join the IRE […]",
IRE Radio Podcast | Afflicting the Powerful,https://www.ire.org/ire-radio-podcast-afflicting-the-powerful/,"February 8, 2017",Erica Martin,"What happens when you investigate the leader of your own country? There’s perhaps never been a more relevant time to ask that question. On this episode, we’ll hear from two […]","udio, international, Panama Papers, Podcast"
"Spotlight Fellowship to award $100,000 for reporting, research project",https://www.ire.org/spotlight-fellowship-to-award-100000-for-reporting-research-project/,"February 7, 2017",hdcoadmin,"By Sacha Pfeiffer, The Boston Globe 'Spotlight' on the IRE Radio Podcast Listen to Pfeiffer, Walter Robinson and Marty Baron discuss the Globe’s reporting in 2002 and 2003. Fifteen years […]","fellowship, Spotlight"
IRE members named finalists for Goldsmith Prize,https://www.ire.org/ire-members-named-finalists-for-goldsmith-prize/,"January 31, 2017",hdcoadmin,The Shorenstein Center has named nine IRE members from five news organizations as finalists for the 2017 Goldsmith Prize for Investigative Reporting and one IRE member as the winner of […],"wards, Member News"
IRE seeks training director,https://www.ire.org/ire-seeks-training-director/,"January 27, 2017",hdcoadmin,Come train with us! IRE seeks a training director to help journalists bolster their watchdog and data skills. The trainer will help organize and conduct watchdog workshops and customized newsroom […],
2016 Philip Meyer Award Winners Announced,https://www.ire.org/2016-philip-meyer-award-winners-announced/,"January 23, 2017",Erica Martin,IRE is proud to announce the 2016 Philip Meyer Award winners A sophisticated data investigation that revealed doctors who had sexually abused their patients is the first-place winner of the 2016 […],"2016, awards-1, Meyer, Philip"
"Submit session, speaker ideas for the 2017 IRE Conference",https://www.ire.org/submit-session-speaker-ideas-for-the-2017-ire-conference/,"January 18, 2017",Erica Martin,"IRE is looking to you for input in planning sessions for the upcoming IRE Conference, June 22-25 in Phoenix. Please let us know what you'd like to learn – and […]",
IRE Radio Podcast | The Human Face of Heroin,https://www.ire.org/ire-radio-podcast-the-human-face-of-heroin/,"January 17, 2017",Erica Martin,"Soaring heroin and opioid addiction rates have left journalists across the country looking for new ways to cover the crisis and make the statistics stick. On this episode, we talk […]","udio, Drugs, heroin, Podcast"
Charles Minshew joins IRE as data services director,https://www.ire.org/charles-minshew-joins-ire-as-data-services-director/,"January 6, 2017",hdcoadmin,"Charles Minshew of the Orlando Sentinel will join IRE as director of data services on Jan. 23. During the past three years, Charles has done impressive data and visual storytelling work at the […]",NICAR
2016 IRE Awards deadline approaching,https://www.ire.org/2016-ire-awards-deadline-approaching/,"January 4, 2017",Erica Martin,How to enter the IRE Awards from IRE/NICAR on Vimeo. The IRE Awards deadline is just 10 days away and we don't want you to miss out! Gather your best […],"2016 IRE Awards, IRE Awards"
IRE office closed for the holidays,https://www.ire.org/ire-office-closed-for-the-holidays-3/,"December 22, 2016",hdcoadmin,"In celebration of the coming holidays, the IRE and NICAR offices will close Friday afternoon, Dec. 23, through Monday, Jan. 2. While staff will be checking in periodically, coverage will […]",
Jaimi Dowdell to leave IRE in January,https://www.ire.org/jaimi-dowdell-to-leave-ire-in-january/,"December 20, 2016",hdcoadmin,"IRE's longest-serving trainer, Jaimi Dowdell, will leave her position at the end of January to complete her Spotlight Investigative Journalism Fellowship and pursue other career opportunities. Since 2008, Dowdell has […]",
IRE Radio Podcast | BONUS: The State of the FOIA,https://www.ire.org/ire-radio-podcast-bonus-the-state-of-the-foia/,"December 19, 2016",Erica Martin,It’s been 50 years since the federal Freedom of Information Act was signed into law. A lot’s happened since then – not all of it good for the press. We’re […],"udio, FOI, FOIA, open records, Podcast, Transparency"
Jan. 12 event in D.C. will honor David Donald,https://www.ire.org/jan-12-event-in-d-c-will-honor-david-donald/,"December 15, 2016",hdcoadmin,"An event to celebrate the legacy of David Donald will be held Jan. 12 at American University in Washington, D.C. All are welcome at the 6:30 p.m. remembrance and reception, […]",
Moving the needle on freedom of information – your insights needed for Knight study,https://www.ire.org/moving-the-needle-on-freedom-of-information-your-insights-needed-for-knight-study/,"December 14, 2016",hdcoadmin,"The Knight Foundation wants to know what you think about the state of access to public records at the federal and state/local levels. Anyone interested in FOI – journalists, access […]","FOI, FOIA, Knight Foundation"
Apply to be IRE’s Google Fellow next summer!,https://www.ire.org/apply-to-be-ires-google-fellow-next-summer-2/,"December 13, 2016",Erica Martin,"2016 Google Fellow Brett Murphy and former NICAR Database Library Director Liz Lucas work on a project. Are you a college journalism student who enjoys holding government officials accountable, scouring […]","Google Journalism Fellowships, internship"
Remembering the legacy of David Donald,https://www.ire.org/remembering-the-legacy-of-david-donald/,"December 11, 2016",hdcoadmin,"David Donald Journalism lost a talented data analyst, editor and trainer with the death Saturday of David Donald, a former IRE national training director. David passed away at Reston Hospital […]",
Meetup: Meet IRE's new leader Dec. 15,https://www.ire.org/meetup-meet-ires-new-leader-dec-15/,"December 6, 2016",hdcoadmin,"Please join us on Thursday, December 15 at The Boathouse at Confluence Park, beginning at 5:30 pm to welcome new IRE Executive Director Doug Haddix. We're blessed to have such […]",Meetups
Give an IRE membership this holiday season,https://www.ire.org/give-an-ire-membership-this-holiday-season/,"December 6, 2016",hdcoadmin,"Help a friend, family member or colleague hone their journalism skills in 2017 with a 1-year IRE gift membership ($70). Here’s how it works: Fill out this form letting us […]",membership
"Transcript: Making a List, Checking it Twice",https://www.ire.org/transcript-making-a-list-checking-it-twice/,"December 5, 2016",Erica Martin,"The following is a transcript of the IRE Radio Podcast episode “Making a List, Checking it Twice."" The audio version is available at: http://bit.ly/2gtrlaQ <<Begin Daniela Vidal narration>> 2016 brought […]","Podcast, Trump"
"IRE Radio Podcast | Making a List, Checking it Twice",https://www.ire.org/ire-radio-podcast-making-a-list-checking-it-twice/,"December 5, 2016",Erica Martin,One of the biggest scoops this election cycle came from Washington Post reporter David Fahrenthold. His relentless shoe-leather reporting – and list making – revealed that Donald Trump wasn’t exactly the philanthropist […],"udio, charity, elections, Podcast, politics, Trump"
2016 IRE Awards Call for Entries,https://www.ire.org/2016-ire-awards-call-for-entries/,"December 1, 2016",Erica Martin,"How to enter the IRE Awards from IRE/NICAR on Vimeo. It's time to gather your best stories of the year! The 2016 IRE Awards contest is now open for submissions, […]","2016 IRE Awards, contest"
IRE announces winners of Total Newsroom Training Fellowships,https://www.ire.org/ire-announces-winners-of-total-newsroom-training-fellowships/,"November 28, 2016",Erica Martin,"Three journalists have been awarded Total Newsroom Training Fellowships for IRE’s data analysis boot camp in January. The fellowship is offered to alumni of the TNT program, which provides intense, in-house […]","wards-1, fellowships, TNT, Total Newsroom Training, training_1"
"IRE Radio Podcast | Mobile Tech, Human Cost",https://www.ire.org/ire-radio-podcast-mobile-tech-human-cost/,"November 21, 2016",Erica Martin,"If you’re listening to this podcast, you’re affected by the topic of our show today. The phone, computer or tablet you’re using to play this episode is likely powered by […]","international, Podcast, supply chain"
Remembering an IRE leader: Jan Colbert,https://www.ire.org/remembering-an-ire-leader-jan-colbert/,"November 10, 2016",hdcoadmin,"By Steve Weinberg One of the most important individuals to IRE’s history never published an investigative project. Nor was she a newsroom editor, or a big-money donor. Jan Colbert died Nov. […]","Colbert, Jan"
IRE Radio Podcast | The Killer That Got Away,https://www.ire.org/ire-radio-podcast-the-killer-that-got-away/,"November 7, 2016",Erica Martin,"How many people in the U.S. die of antibiotic-resistant infections? It seems like a simple question. But when a team of journalists from Reuters set out to gather the numbers, […]","udio, health, health care, Podcast"
A conversation with IRE Executive Director Doug Haddix,https://www.ire.org/a-conversation-with-ire-executive-director-doug-haddix/,"November 4, 2016",Erica Martin,"Doug Haddix Now that IRE’s new executive director Doug Haddix has been on the job for two weeks, we thought it was time to see what he has in store […]",
The death of Gavin MacFadyen,https://www.ire.org/the-death-of-gavin-macfadyen/,"October 31, 2016",hdcoadmin,"From the staff of the The Centre for Investigative Journalism: We are extremely sad to announce the death of Gavin MacFadyen, CIJ’s Founder, Director and its leading light. Gavin died of […]",
3 leaders share 3 tips on how to build up your investigative unit,https://www.ire.org/3-leaders-share-3-tips-on-how-to-build-up-your-investigative-unit/,"October 27, 2016",Erica Martin,"It’s a paradox of modern journalism. For newsrooms struggling to stay afloat, an easy way to cut costs is to spend less on investigative reporting. Yet it’s often these watchdog […]","Investigations, management"
IRE Radio Podcast | Protect and Surveil,https://www.ire.org/ire-radio-podcast-protect-and-surveil/,"October 24, 2016",Erica Martin,"If you’ve ever been stopped by police, it’s likely an officer filled out something called a field contact report. Officials say the documents can be useful crime-solving tools, but they […]","udio, Podcast, police, surveillance"
Call for entries: 2016 Philip Meyer Award,https://www.ire.org/call-for-entries-2016-philip-meyer-award/,"October 18, 2016",Erica Martin,"It's once again time to enter the Philip Meyer Journalism Award contest. Entries are now being accepted online, through Nov. 18. Established in 2005, the award was created to honor Philip […]","2016 contest, awards-1, Philip Meyer Awards"
"Election 2016: Watch free videos on campaign finance, advertising analysis tools",https://www.ire.org/election-2016-watch-free-videos-on-campaign-finance-advertising-analysis-tools/,"October 17, 2016",Erica Martin,"As part of our NICAR-Learn video series, we’ve released three new training videos on working with election data, specifically campaign finance and advertising. We’ve made the videos – and a […]","elections_1, NICAR-Learn, Training"
Learn how to explore data with Python's Jupyter Notebook,https://www.ire.org/learn-how-to-explore-data-with-pythons-jupyter-notebook/,"October 14, 2016",hdcoadmin,"Editor's Note: This article first ran on the California Civic Data Coalition's website on Oct. 8. Ben spoke at our San Diego Data Watchdog Workshop, a program funded by the Ethics and […]","car_1, coding, NICAR, programming, python"
IRE names Doug Haddix as new executive director,https://www.ire.org/ire-names-doug-haddix-as-new-executive-director/,"October 13, 2016",hdcoadmin,"Doug Haddix Investigative Reporters & Editors, a worldwide organization representing more than 5,500 journalists, has named Doug Haddix as its new executive director. Haddix, director of the Kiplinger Program in […]",
Behind the Story: How a little-known law can send you to prison for a murder you never committed,https://www.ire.org/behind-the-story-how-a-little-known-law-can-send-you-to-prison-for-a-murder-you-never-committed/,"October 12, 2016",Erica Martin,"Alison Flowers (left) and Sarah Macaraeg (right) You might think you have to kill someone to be charged with murder. But at least in Illinois, you’d be wrong. In an […]","Behind the Story, behind-the-story-1, crime, justice, police"
Track the economic impact of Hurricane Matthew,https://www.ire.org/track-the-economic-impact-of-hurricane-matthew/,"October 11, 2016",Erica Martin,"View of Hurricane Katrina destruction in the city of New Orleans. (Photo by NOAA / Creative Commons)  In the wake of any natural disaster, there’s a seemingly endless number of […]","database, disaster, flooding, Hurricane, natural disasters"
"NICAR, ProPublica partner to sell data to non-members",https://www.ire.org/nicar-propublica-partner-to-sell-data-to-non-members/,"October 11, 2016",Erica Martin,"ProPublica recently relaunched its data store. As part of the relaunch, ProPublica also announced a partnership with IRE to manage sales of data sets maintained by the National Institute for […]","Database Library, NICAR, ProPublica"
When checking your mailbox isn’t enough: 3 tips for investigating local elections,https://www.ire.org/when-checking-your-mailbox-isnt-enough-3-tips-for-investigating-local-elections/,"October 10, 2016",Erica Martin,"Image by Justin Grimes. Used under Creative Commons License. In September, New York Times reporter Susanne Craig checked her mailbox. Checking for snail mail wasn’t abnormal for her, but what she found was: […]","Broadcast, data, elections"
IRE Radio Podcast | Fostering Disparity,https://www.ire.org/ire-radio-podcast-fostering-disparity/,"October 3, 2016",Erica Martin,"Brandon Stahl has spent years reporting on foster care for the Minneapolis Star Tribune. But at a meeting with the Bureau of Indian Affairs, he stumbled across a fact he’d […]","American Indian, audio, children, data journalism, foster, Podcast"
IRE looks to hire new director of data services,https://www.ire.org/ire-looks-to-hire-new-director-of-data-services/,"September 27, 2016",hdcoadmin,"Investigative Reporters and Editors is looking for someone with data analysis skills who enjoys tackling a variety of projects, leading workshops, working with smart and motivated students, and helping shape […]","jobs, NICAR News"
Join IRE at our Cleveland Meetup!,https://www.ire.org/join-ire-at-our-cleveland-meetup/,"September 25, 2016",hdcoadmin,"If you're in the Cleveland area, we hope you’ll join us for a Meetup on Sunday, Oct. 9. We’ll be gathering at Jukebox starting at 3 pm. This event is open to […]",Meetups
Behind the Story: How IndyStar uncovered sexual abuse within USA Gymnastics,https://www.ire.org/behind-the-story-how-indystar-uncovered-sexual-abuse-within-usa-gymnastics/,"September 15, 2016",Erica Martin,"""Out of Balance"" from the Indianapolis Star In many ways, the summer of 2016 was an exciting time for USA Gymnastics, the national governing body that oversees the sport and […]","Behind the Story, behind-the-story-1, Olympics, sexual abuse, sexual assault"
Report on the student debt crisis with our new simplified database,https://www.ire.org/report-on-the-student-debt-crisis-with-our-new-simplified-database/,"September 1, 2016",hdcoadmin,"Student debt is quickly becoming a national crisis. But reporting on student loans and college finances has always been thorny, especially when dealing with complicated bureaucracies and patchwork data. Earlier […]","campus, college, data, database, debt, education, NICAR, students"
IRE Radio Podcast | Wards of Neglect,https://www.ire.org/ire-radio-podcast-wards-of-neglect/,"August 29, 2016",hdcoadmin,What happens when a state cuts $100 million from its mental health budget? Reporters from the Tampa Bay Times and Sarasota Herald-Tribune spent 18 months finding out. Their Pulitzer-winning investigation […],"udio, collaboration, government, Hospitals, mental health, Podcast"
IRE Radio Podcast | White Coat Criminals,https://www.ire.org/ire-radio-podcast-white-coat-criminals/,"August 9, 2016",hdcoadmin,"A team of journalists at The Atlanta Journal-Constitution uncovered a nationwide phenomenon of sexual abuse in the medical community. Thousands of doctors, many still practicing, had a lurid history of […]","udio, health, health care, medical, Podcast, sexual abuse"
IRE welcomes new trainer,https://www.ire.org/ire-welcomes-new-trainer-2/,"July 18, 2016",hdcoadmin,"Denise Malan is joining IRE full-time as a member of our training team in August. For the past three years, Denise has worked at the Institute for Nonprofit News in […]",
IRE Radio Podcast | Profiting from Prisoners,https://www.ire.org/ire-radio-podcast-profiting-from-prisoners/,"July 18, 2016",hdcoadmin,"Prisons have long posed a challenge for investigative journalists. And when you’re trying to report on a private prison ­– one owned by a company, not the government – the situation […]","udio, incarceration, jail, justice, law enforcement, Podcast, prisons, undercover"
IRE awards 3 fellowships and free training to 10 newsrooms,https://www.ire.org/ire-awards-3-fellowships-and-free-training-to-10-newsrooms/,"July 12, 2016",Erica Martin,"Ten newsrooms have been chosen for IRE’s Total Newsroom Training this year. TNT provides intense, in-house training for small and medium-sized newsrooms dedicated to watchdog journalism. This is the fourth year IRE has […]","NT, Total Newsroom Training, training_1"
IRE to offer half-day workshop at AAJA convention in Las Vegas,https://www.ire.org/ire-to-offer-half-day-workshop-at-aaja-convention-in-las-vegas/,"July 7, 2016",Erica Martin,"Boost your data skills for just $10 at our hands-on, half-day workshop taking place August 10, before the 26th Annual AAJA National Convention at Caesars Palace Las Vegas. Get experience […]",raining
Connect with IRE members in the Bay Area,https://www.ire.org/connect-with-ire-members-in-the-bay-area/,"July 5, 2016",hdcoadmin,"Join us Monday, July 11 at 6 p.m. for the IRE Bay Area Investigators with Drinks! Invite your friends and get them to RSVP here so we have enough snacks to […]",Meetups
"Tips for turning your investigation into a longform, multiplatform narrative",https://www.ire.org/tips-for-turning-your-investigation-into-a-longform-multiplatform-narrative/,"July 1, 2016",Erica Martin,"A serial killer. An Afghan teenager in London. A porn star with an immense knowledge of shell corporations. “Gee,"" you might say, ""is that the cast of the latest Wes Anderson […]","collaboration, IRE Conference, longform, narrative"
A guide to mastering the investigative interview,https://www.ire.org/a-guide-to-mastering-the-investigative-interview/,"June 29, 2016",Erica Martin,"Learn the rules, then break them. That’s how to excel in the not-so-delicate art of the investigative interview, according to Julian Sher, a producer of the CBC’s The Fifth Estate. […]","interviewing, IRE Conference"
"Follow the money in state, local elections",https://www.ire.org/follow-the-money-in-state-local-elections/,"June 27, 2016",hdcoadmin,"By Kaitlin Washburn Journalists from the Sunlight Foundation, National Institute on Money in State Politics, and Voice of OC discussed strategies for following the money in state and local elections. […]","campaign contributions, campaign finance, elections, IRE Conference, politics"
Tips for putting a human face on your data-driven story,https://www.ire.org/tips-for-putting-a-human-face-on-your-data-driven-story/,"June 24, 2016",hdcoadmin,"By Soo Rin Kim There’s nothing more boring and unappealing than seeing a story full of numbers. “But it’s a data story,” you say. “I can’t help it!” Put aside […]","data, IRE Conference, sources-1"
Panama Papers: How the world’s largest collaborative investigation came together,https://www.ire.org/panama-papers-how-the-worlds-largest-collaborative-investigation-came-together/,"June 24, 2016",hdcoadmin,By Soo Rin Kim Journalists who worked on the Panama Papers came together at the IRE Conference to discuss what it take to pull off the world’s largest collaborative investigation. […],"collaboration, international, IRE Conference, Panama Papers"
A conversation with Vanessa Araiza of WBRC in Birmingham,https://www.ire.org/a-conversation-with-vanessa-araiza-of-wbrc-in-birmingham/,"June 24, 2016",hdcoadmin,"Will Fuller and Vanessa Araiza at the 2016 IRE Conference in New Orleans.Photo: Will Fuller At the 2016 IRE Conference in New Orleans, Knight Scholar Will Fuller sat down with […]","Humans of IRE, IRE Conference"
Reporting strategies for going beyond the traditional women's health narrative,https://www.ire.org/reporting-strategies-for-going-beyond-the-traditional-womens-health-narrative/,"June 23, 2016",hdcoadmin,"By Ashley Balcerzak When writing about abortion or reproductive rights, it can be difficult to move past the debate itself. Many stories lean on a formula of pro-life versus pro-choice […]","health, healthcare, politics"
"‘Spotlight’ journalists take us behind the movie, discuss the future of investigative reporting",https://www.ire.org/spotlight-journalists-take-us-behind-the-movie-discuss-the-future-of-investigative-reporting/,"June 23, 2016",hdcoadmin,By Emma Henderson “The truth may never be known.” That quote from an article in the Boston Globe is what motivated Marty Baron to get the paper’s Spotlight team to […],"IRE Conference, Spotlight"
Fake classes and suspicious subsidies: Tips for investigating your college campus,https://www.ire.org/fake-classes-and-suspicious-subsidies-tips-for-investigating-your-college-campus/,"June 23, 2016",hdcoadmin,"By Kaitlin Washburn Craig Flournoy, a journalism professor at the University of Cincinnati, recognizes the courage it takes for a student to do investigative reporting on the college he or […]","campus-1, college, IRE Conference, university"
A conversation with Jenise Morgan of the Florida Courier,https://www.ire.org/a-conversation-with-jenise-morgan-of-the-florida-courier/,"June 23, 2016",hdcoadmin,"Jenise Morgan of the Florida CourierPhoto by Akira Kyles At the IRE Conference in New Orleans, 2016 Knight Scholar Akira Kyles spoke with attendee Jenise Morgan, senior editor at the […]","Humans of IRE, IRE Conference"
Sheila Coronel delivers keynote speech at IRE 2016,https://www.ire.org/sheila-coronel-delivers-keynote-speech-at-ire-2016/,"June 22, 2016",hdcoadmin,".@SheilaCoronel @columbiajourn greeting her inspired students @IRE_NICAR #IRE16 #IRE2016 pic.twitter.com/1Ed4VWlJzf — Francisco Vara-Orta (@fvaraorta) June 18, 2016 By Sarah Gamard The word “family” comes up often at IRE conferences. Sheila […]","collaboration, Conference, keynote"
"Hold grown-ups accountable when kids fail, and other tips for covering schools",https://www.ire.org/hold-grown-ups-accountable-when-kids-fail-and-other-tips-for-covering-schools/,"June 22, 2016",hdcoadmin,"By Moriah Balingit Covering schools can be grueling and it can be easy to get caught up in the mundane. At an IRE Conference panel, Dallas Morning-News reporter Tawnell Hobbs, […]","education, IRE Conference, teacher"
A conversation with Breanna Molloy of KATC,https://www.ire.org/a-conversation-with-breanna-molloy-of-katc/,"June 22, 2016",hdcoadmin,"Jocelyn Stargell-Zachery (left) and Breanna Molloy (right) at the 2016 IRE Conference. Photo by Jocelyn Stargell-Zachery At the IRE Conference in New Orleans, 2016 Knight Scholar Jocelyn Stargell-Zachery spoke with attendee Breanna […]","Humans of IRE, IRE Conference"
"A conversation with Ian Auzenne of KATC in Lafayette, Louisiana",https://www.ire.org/a-conversation-with-ian-auzenne-of-katc-in-lafayette-louisiana/,"June 22, 2016",hdcoadmin,"At the 2016 IRE Conference in New Orleans, Knight Scholar Ashley Jackson talked with Ian Auzenne, an executive producer at KATC in Lafayette, Louisiana. Jackson: Tell me about your journey […]","Humans of IRE, IRE Conference"
"Satellites and secret cameras: How the Associated Press freed 2,000 slaves",https://www.ire.org/satellites-and-secret-cameras-how-the-associated-press-freed-2000-slaves/,"June 19, 2016",hdcoadmin,"By Moriah Balingit It’s an island few outside of Indonesia had ever heard of. Accessible only half the year because of violent monsoons, Benjina is located in the southernmost portion […]","AP, IRE Conference, seafood, slavery"
How two reporters came together to report and write an unbelievable story,https://www.ire.org/how-two-reporters-came-together-to-report-and-write-an-unbelievable-story/,"June 19, 2016",hdcoadmin,By Sarah Gamard T. Christian Miller and Ken Armstrong broke down their Pulitzer Prize-winning collaboration “An Unbelievable Story of Rape” to a packed conference hall at IRE 2016 in New […],"collaboration, crime, law enforcement, ProPublica, rape"
"How to deal with hoaxes, con men and frauds in your reporting",https://www.ire.org/how-to-deal-with-hoaxes-con-men-and-frauds-in-your-reporting/,"June 19, 2016",hdcoadmin,"By Taeler De Haes It’s important to understand where the information you're getting comes from. At the recent IRE Conference in New Orleans, Ira Rosen of 60 Minutes, Tony Kovaleski of […]","fraud, Investigations, reporting, Sources"
Experts share tips for prying records out of government agencies,https://www.ire.org/experts-share-tips-for-prying-records-out-of-government-agencies/,"June 19, 2016",hdcoadmin,"By Andrew Kreighbaum Working on a beat where most sources prefer to remain anonymous, VICE News reporter Jason Leopold has turned to extensive and aggressive FOIA work to get officials […]","FOIA, IRE Conference, open government, records"
Covering 21st century policing in the social media age,https://www.ire.org/covering-21st-century-policing-in-the-social-media-age/,"June 19, 2016",hdcoadmin,By Andrew Kreighbaum Washington Post reporter Kimberly Kindy said social media has had a profound role in shaping the paper’s coverage of police shootings in 2015. When someone is shot […],"IRE Conference, police, social media"
Department of Veterans Affairs wins 2016 Golden Padlock,https://www.ire.org/department-of-veterans-affairs-wins-2016-golden-padlock/,"June 19, 2016",hdcoadmin,Investigative Reporters and Editors has named the Department of Veterans Affairs as the winner of its annual Golden Padlock Award recognizing the most secretive U.S. agency or individual. The VA was selected […],"olden, padlock"
